Reference, Quantity, Digikey PN
C1 ,1,P15797CT-ND
C2 ,1,BC5229CT-ND
J1 ,1,AE10986-ND
R2 R1 R4 R3 ,4,P5.1KECT-ND
U1 ,1,SST39VF200A-70-4I-EKE-ND
