Reference, Quantity, Digikey PN
C1 ,1,P5183-ND
C2 C3 ,2,P15797CT-ND
C4 C5 ,2,BC5229CT-ND
J12 ,1,CP-063AH-ND
J13 ,1,1951-2430-ND
J2 J1 J3 J4 J5 J10 J11 J7 ,8,AE10941-ND
J6 J8 ,2,AE10935-ND
J9 ,1,AE10921-ND
R1 R2 ,2,P2.0KECT-ND
SW1 ,1,SW415-ND
U7 U6 U5 U4 U3 U2 U1 U10 U9 U8 U13 U12 U11 U20 U19 U18 U17 U16 U15 U14 U23 U22 U21 U26 U25 U24 U32 U31 U27 U28 U29 U30 ,32,296-5104-1-ND
