Reference, Quantity, Value, Footprint, Datasheet, Digikey PN
C1 ,1,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","P15797CT-ND"
C2 ,1,"100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","BC5229CT-ND"
D15 D14 D13 D12 D11 D10 D9 D8 D7 D6 D5 D4 D3 D1 D2 D16 ,16,"LED","LED_THT:LED_D5.0mm","~"
J1 ,1,"DB37_Male","Connector_Dsub:DSUB-37_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~","AE10986-ND"
R16 R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 ,16,"1K","Resistor_SMD:R_1206_3216Metric","~","P1.0KECT-ND"
U76 U10 U9 U8 U7 U6 U15 U14 U13 U12 U11 U20 U19 U18 U17 U16 U25 U24 U23 U22 U21 U30 U29 U28 U27 U26 U35 U34 U33 U32 U31 U40 U39 U38 U37 U36 U45 U44 U43 U42 U41 U50 U49 U48 U47 U46 U55 U54 U53 U52 U51 U60 U59 U58 U57 U56 U65 U64 U63 U62 U61 U70 U69 U68 U67 U66 U5 U4 U3 U2 U1 U75 U74 U73 U72 U71 ,76,"SN74HCS00PWR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","296-SN74HCS00PWRCT-ND"
