Reference, Quantity, Digikey PN
C1 ,1,
C3 C4 ,2,P15797CT-ND
C5 C6 ,2,BC5229CT-ND
C7 C2 ,2,399-C1206C104K5RAC7800CT-ND
J1 ,1,AE10968-ND
R1 ,1,
R2 ,1,
R3 R5 ,2,P33ECT-ND
R4 ,1,P5.1KECT-ND
RV1 ,1,PTV09A-4225F-B104-ND
TP1 TP4 TP3 TP2 ,4,
U3 U1 U2 U4 ,4,296-5104-1-ND
U5 U6 ,2,31-PI6C49CB04AQ2WEXCT-ND
