Reference, Quantity, Digikey PN
C1 ,1,P15797CT-ND
C2 ,1,BC5229CT-ND
J1 ,1,AE10986-ND
R1 R17 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 ,17,P1.0KECT-ND
U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24 U25 U26 U27 U28 U29 U30 U31 U32 U33 U34 U35 U36 U37 U38 U39 U40 U41 U42 U43 U44 U45 U46 U47 U48 U49 ,49,296-5104-1-ND
