Reference, Quantity, Digikey PN
C2 C1 ,2,P15797CT-ND
C3 C4 ,2,BC5229CT-ND
C6 C5 ,2,399-C1206C104K5RAC7800CT-ND
J3 ,1,AE10980-ND
J4 ,1,AE10986-ND
U1 ,1,800-2609-5-ND
U3 U2 U4 U9 U13 U17 U21 U7 U11 U15 U19 U10 U14 U18 U22 U8 U12 U16 U20 U25 U29 U33 U37 U23 U27 U31 U35 U26 U30 U34 U38 U24 U28 U32 U36 U41 U45 U49 U53 U39 U43 U47 U51 U42 U46 U50 U54 U40 U44 U48 U52 ,51,296-5104-1-ND
U5 U6 ,2,296-8521-1-ND
